"batter" "launch_angle" "launch_speed" "events" "estimated_ba_using_speedangle" "estimated_woba_using_speedangle"
"14636" 641511 41 84.4 "field_out" 0.023 0.029
"14637" 543281 41 78.8 "field_out" 0.023 0.021
"14638" 516416 -16 85.6 "field_out" 0.109 0.105
"14639" 502110 36 98.9 "double" 0.251 0.509
"14640" 665161 -13 98.1 "field_out" 0.226 0.228
"14641" 624431 71 74.6 "field_out" 0.003 0.003
"14642" 669701 39 79.7 "field_out" 0.023 0.021
"14643" 657709 -13 58.3 "field_out" 0.08 0.08
"14644" 650559 18 80.9 "single" 0.94 0.904
"14645" 643396 -13 101.8 "field_out" 0.237 0.213
"14646" 630105 53 90.7 "field_out" 0.017 0.021
"14647" 606466 52 63.8 "field_out" 0.097 0.087
"14648" 660688 2 76.8 "field_out" 0.163 0.147
"14649" 669742 39 101 "field_out" 0.223 0.437
"14650" 622761 -66 53.2 "field_out" 0.24 0.226
"14651" 643217 37 86.3 "field_out" 0.014 0.021
"14652" 649966 22 101.5 "double" 0.483 0.658
"14653" 592206 -11 93.5 "field_out" 0.157 0.141
"14654" 668751 39 94.1 "field_out" 0.066 0.116
"14655" 664702 -24 96.7 "force_out" 0.109 0.101
"14656" 665750 71 94.9 "field_out" 0.026 0.034
"14657" 518735 14 94.4 "double" 0.92 0.928
"14658" 641820 35 100.6 "home_run" 0.409 0.816
"14659" 643376 13 76.2 "field_out" 0.443 0.399
"14660" 628450 -11 84.3 "field_out" 0.131 0.124
"14661" 676632 24 97.9 "field_out" 0.374 0.513
"14662" 657077 15 97 "double" 0.791 0.8
"14663" 641933 4 72.2 "field_out" 0.169 0.161
"14664" 656305 27 105.6 "home_run" 0.923 1.869
"14665" 592663 47 107.3 "home_run" 0.134 0.275
"14666" 670042 24 107.4 "field_out" 0.917 1.784
"14667" 682985 -7 100.8 "field_out" 0.286 0.276
"14668" 546991 45 70.8 "field_out" 0.26 0.276
"14669" 405395 50 89.6 "field_out" 0.017 0.023
"14670" 545358 73 74.5 "field_out" 0 0
"14671" 605137 -29 93.5 "field_out" 0.097 0.094
"14672" 518626 6 109.2 "single" 0.669 0.628
"14673" 593428 12 79.5 "single" 0.48 0.432
"14674" 666182 -26 59.9 "field_out" 0.049 0.044
"14675" 668472 18 84.2 "single" 0.889 0.863
"14676" 592518 22 97.6 "double" 0.26 0.292
"14677" 621028 -9 68.5 "field_out" 0.083 0.082
"14678" 643265 31 91.7 "field_out" 0.086 0.148
"14679" 606157 -16 66 "field_out" 0.034 0.031
"14680" 453568 15 102.3 "single" 0.626 0.641
"14681" 596059 1 89.9 "field_out" 0.271 0.244
"14682" 593643 45 83.8 "field_out" 0.009 0.01
"14683" 575929 -14 45.8 "field_out" 0.186 0.213
"14684" 641531 -31 63.6 "force_out" 0.043 0.039
"14685" 643217 17 98.7 "double" 0.466 0.486
"14686" 663993 45 102.3 "field_out" 0.063 0.108
"14687" 676628 20 105.4 "field_out" 0.643 0.919
"14688" 665742 19 101.9 "field_out" 0.451 0.575
"14689" 571448 77 79.9 "field_out" 0.014 0.017
"14690" 677950 4 95.2 "single" 0.411 0.37
"14691" 553993 65 85.7 "field_out" 0.006 0.006
"14692" 660707 -6 71.6 "field_out" 0.086 0.08
"14693" 668731 49 85.6 "field_out" 0.003 0.003
"14694" 518626 19 104.9 "field_out" 0.549 0.686
"14695" 666176 -16 107.6 "force_out" 0.217 0.195
"14696" 456781 29 63.1 "field_out" 0.757 0.681
"14697" 606192 42 98.3 "field_out" 0.043 0.067
"14698" 624413 15 111.2 "field_out" 0.714 0.804
"14699" 656582 74 84.8 "field_out" 0.009 0.01
"14700" 621035 3 98.2 "double" 0.491 0.458
"14701" 665833 -21 102.8 "field_out" 0.189 0.186
"14702" 543939 79 64.8 "field_out" 0.006 0.005
"14703" 595777 53 73.7 "field_out" 0.109 0.12
"14704" 683734 9 82.4 "field_out" 0.44 0.417
"14705" 621020 25 88 "field_out" 0.134 0.145
"14706" 666971 47 93.8 "field_out" 0.003 0.004
"14707" 663647 3 70.7 "field_out" 0.14 0.128
"14708" 571466 40 97.7 "field_out" 0.08 0.146
"14709" 680911 -8 94.4 "field_out" 0.223 0.212
"14710" 602074 -15 103.5 "field_out" 0.229 0.206
"14711" 650402 51 92.9 "field_out" 0.006 0.005
"14712" 457705 49 101.2 "field_out" 0.014 0.018
"14713" 650490 -4 99.6 "field_out" 0.326 0.309
"14714" 542921 0 98.4 "single" 0.397 0.376
"14715" 660670 13 105.3 "single" 0.783 0.782
"14716" 572761 16 70.5 "single" 0.591 0.532
"14717" 670541 10 94.7 "single" 0.7 0.646
"14718" 671739 14 98 "single" 0.869 0.854
"14719" 650859 0 89.6 "single" 0.271 0.244
"14720" 641680 69 67.8 "field_out" 0 0
"14721" 621566 2 114.6 "single" 0.603 0.557
"14722" 664761 41 93.9 "field_out" 0.006 0.005
"14723" 663662 30 72.1 "field_out" 0.697 0.67
"14724" 602104 -7 102.6 "grounded_into_double_play" 0.317 0.298
"14725" 596847 17 105.2 "field_out" 0.517 0.603
"14726" 572761 30 97.4 "field_out" 0.271 0.476
"14727" 669242 0 95.6 "field_out" 0.377 0.346
"14728" 672695 40 86.4 "field_out" 0.017 0.024
"14729" 547989 32 78.3 "field_out" 0.146 0.136
"14730" 592325 17 97.9 "field_out" 0.509 0.557
"14731" 669257 15 98.3 "single" 0.76 0.749
"14732" 647304 45 50.5 "double_play" 0.134 0.121
"14733" 646240 67 71.6 "field_out" 0.003 0.003
"14734" 686469 38 74.6 "single" 0.174 0.157
"14735" 664034 -16 95.6 "field_out" 0.194 0.197
"14736" 553869 23 103.9 "double" 0.789 1.322
"14737" 493329 50 86.2 "field_out" 0.006 0.005
"14738" 660757 7 90.1 "single" 0.491 0.462
"14739" 500743 19 97.5 "field_out" 0.34 0.394
"14740" 545341 -28 83.4 "field_out" 0.043 0.039
"14741" 514888 -2 106.5 "single" 0.44 0.418
"14742" 606115 46 81.6 "field_out" 0.014 0.015
"14743" 664040 70 82.2 "field_out" 0.009 0.01
"14744" 595751 -33 80 "field_out" 0.051 0.046
"14745" 592450 50 75.7 "single" 0.089 0.088
"14746" 455117 15 85.9 "single" 0.951 0.903
"14747" 518692 36 69.1 "single" 0.683 0.696
"14748" 624428 1 76.3 "field_out" 0.131 0.118
"14749" 593160 -3 74.4 "field_out" 0.094 0.085
"14750" 595909 39 75.3 "field_out" 0.186 0.181
"14751" 668804 31 82.5 "field_out" 0.049 0.057
"14752" 521692 -79 47.3 "field_out" 0.154 0.139
"14753" 641779 35 66.7 "single" 0.749 0.737
"14754" 650391 22 110.1 "home_run" 0.957 1.804
"14755" 516782 -6 98.1 "single" 0.28 0.268
"14756" 666185 23 62.8 "field_out" 0.651 0.586
"14757" 608369 56 78.9 "field_out" 0.06 0.066
"14758" 642715 27 95 "field_out" 0.189 0.261
"14759" 621020 25 68.9 "single" 0.949 0.894
"14760" 679631 -23 86.1 "fielders_choice" 0.1 0.105
"14761" 686681 40 105.6 "field_out" 0.406 0.808
"14762" 663611 23 90.1 "field_out" 0.226 0.255
"14763" 571657 18 93.6 "field_out" 0.474 0.479
"14764" 608348 -44 58.1 "field_out" 0.154 0.139
"14765" 624503 28 107.2 "home_run" 0.951 1.968
"14766" 673357 35 85.9 "field_out" 0.017 0.024
"14767" 664059 -7 96.5 "grounded_into_double_play" 0.237 0.224
"14768" 663457 62 60.3 "field_out" 0.006 0.005
"14769" 663898 -5 82.7 "grounded_into_double_play" 0.151 0.151
"14770" 672779 38 82.8 "field_out" 0.011 0.01
"14771" 645302 46 86.3 "field_out" 0.003 0.003
"14772" 680776 -18 99.3 "field_out" 0.126 0.113
"14773" 542303 45 94.8 "field_out" 0.009 0.011
"14774" 669304 12 103.1 "single" 0.917 0.914
"14775" 600869 11 80 "field_out" 0.449 0.404
"14776" 592696 48 82.4 "field_out" 0.02 0.023
"14777" 669222 -14 98.2 "field_out" 0.206 0.198
"14778" 608070 18 49 "field_out" 0.229 0.206
"14779" 663624 20 75.8 "single" 0.96 0.914
"14780" 518934 -14 108.3 "field_out" 0.229 0.206
"14781" 592885 63 73.3 "field_out" 0.009 0.008
"14782" 621438 34 101.7 "home_run" 0.48 0.934
"14783" 647351 -16 94.3 "single" 0.177 0.172
"14784" 518934 -33 65.9 "grounded_into_double_play" 0.049 0.044
"14785" 660670 NA NA "single" NA NA
"14786" 543068 8 81.5 "single" 0.38 0.355
"14787" 607043 11 106.3 "single" 0.897 0.933
"14788" 545121 26 89.6 "field_out" 0.154 0.216
"14789" 663697 2 88.4 "force_out" 0.32 0.298
"14790" 664874 22 104.4 "sac_fly" 0.743 1.172
"14791" 605612 0 91.7 "field_out" 0.323 0.301
"14792" 621035 70 70.4 "field_out" 0 0
"14793" 425877 7 80.1 "single" 0.343 0.321
"14794" 663586 -5 78 "force_out" 0.103 0.093
"14795" 605170 33 96.1 "field_out" 0.134 0.227
"14796" 578428 10 91.6 "double" 0.7 0.672
"14797" 671739 31 99.9 "home_run" 0.483 0.939
"14798" 642708 13 101.8 "field_out" 0.894 0.899
"14799" 606132 -16 73.7 "grounded_into_double_play" 0.066 0.07
"14800" 623993 -27 102.1 "field_out" 0.134 0.131
"14801" 669004 79 73.5 "field_out" 0.006 0.005
"14802" 657709 22 93.3 "field_out" 0.194 0.224
"14803" 621043 25 105 "double" 0.889 1.706
"14804" 641511 45 88.5 "field_out" 0.006 0.005
"14805" 543543 65 94.7 "field_out" 0.02 0.027
"14806" 608841 25 84.5 "field_out" 0.197 0.192
"14807" 641820 2 78.8 "field_out" 0.189 0.17
"14808" 668939 -20 79.8 "field_out" 0.049 0.049
"14809" 664983 -13 100 "field_out" 0.22 0.198
"14810" 680757 -26 85.1 "field_out" 0.049 0.044
"14811" 543281 3 97.9 "single" 0.491 0.458
"14812" 650333 43 90 "field_out" 0.006 0.007
"14813" 676801 33 87.5 "field_out" 0.02 0.018
"14814" 668751 -4 85.4 "grounded_into_double_play" 0.154 0.141
"14815" 669352 -26 89.1 "single" 0.071 0.066
"14816" 606115 -1 77.9 "field_out" 0.137 0.123
"14817" 608324 -13 74 "grounded_into_double_play" 0.051 0.046
"14818" 514917 -18 92 "field_out" 0.114 0.103
"14819" 676480 20 96.2 "field_out" 0.269 0.318
"14820" 670032 -16 61.7 "field_out" 0.049 0.044
"14821" 656775 -12 91.1 "field_out" 0.129 0.116
"14822" 641355 -18 87.5 "field_out" 0.106 0.105
"14823" 681082 34 83.6 "field_out" 0.023 0.033
"14824" 664702 -42 95.1 "field_out" 0.089 0.08
"14825" 624512 1 90 "field_out" 0.271 0.244
"14826" 642423 13 82.5 "triple" 0.671 0.632
"14827" 650391 -3 98.6 "single" 0.32 0.289
"14828" 669257 83 79.9 "field_out" 0.014 0.016
"14829" 624431 29 67.2 "single" 0.914 0.876
"14830" 660707 24 82.5 "double" 0.38 0.372
"14831" 676632 -1 102.4 "single" 0.391 0.352
"14832" 661388 -36 85.7 "field_error" 0.074 0.07
"14833" 621433 21 91.2 "double" 0.26 0.255
"14834" 624415 54 78.2 "field_out" 0.069 0.075
"14835" 664728 18 106.1 "triple" 0.574 0.716
"14836" 665161 31 99.6 "field_out" 0.483 0.939
"14837" 622682 25 85 "double" 0.16 0.147
"14838" 630105 -3 93.7 "field_out" 0.28 0.262
"14839" 624512 35 91.9 "field_out" 0.046 0.064
"14840" 641820 24 101.4 "home_run" 0.563 0.855
"14841" 682985 23 104.7 "home_run" 0.803 1.382
"14842" 656582 48 90.8 "field_out" 0.006 0.005
"14843" 553993 41 92.5 "field_out" 0.009 0.008
"14844" 571912 47 95 "field_out" 0.003 0.003
"14845" 660670 19 83.3 "single" 0.823 0.788
"14846" 624431 45 102 "field_out" 0.063 0.108
"14847" 606115 0 87.1 "field_out" 0.271 0.259
"14848" 571980 6 98.5 "single" 0.62 0.579
"14849" 543333 30 101.7 "field_out" 0.634 1.242
"14850" 668731 20 88 "single" 0.489 0.496
"14851" 571912 8 102.4 "single" 0.689 0.632
"14852" 542303 40 99.2 "field_out" 0.114 0.216
"14853" 543333 14 109 "double" 0.729 0.785
"14854" 660162 40 92.1 "field_out" 0.014 0.013
"14855" 670541 14 103.6 "single" 0.74 0.776
"14856" 643396 -34 63.4 "single" 0.06 0.054
"14857" 605170 2 104 "single" 0.474 0.427
"14858" 676369 32 96.3 "field_out" 0.189 0.349
"14859" 656305 34 101 "field_out" 0.429 0.848
"14860" 661388 26 106.6 "home_run" 0.963 1.957
"14861" 657041 -46 88 "field_out" 0.086 0.077
"14862" 514888 63 91.8 "field_out" 0.009 0.009
"14863" 542303 59 85.2 "field_out" 0.023 0.024
"14864" 670623 12 96.3 "single" 0.889 0.861
"14865" 622761 65 92 "field_out" 0.011 0.013
"14866" 671739 17 62.7 "field_out" 0.411 0.37
"14867" 678246 3 92.3 "field_out" 0.386 0.364
"14868" 455117 -3 102.2 "field_out" 0.323 0.291
"14869" 643446 -15 89 "field_out" 0.12 0.112
"14870" 602074 11 100.4 "double" 0.88 0.868
"14871" 608324 57 77.8 "field_out" 0.06 0.064
"14872" 649966 -10 91.3 "field_out" 0.163 0.155
"14873" 665750 -59 49.4 "field_out" 0.203 0.183
"14874" 673357 -15 105.5 "field_out" 0.234 0.214
"14875" 643396 3 94.9 "field_out" 0.429 0.4
"14876" 641487 -37 101.7 "force_out" 0.097 0.087
"14877" 592669 12 100.7 "single" 0.917 0.903
"14878" 664034 -18 55.4 "field_out" 0.083 0.078
"14879" 621028 14 99.4 "single" 0.829 0.818
"14880" 664034 -10 92.1 "single" 0.186 0.188
"14881" 676628 26 104.2 "home_run" 0.829 1.599
"14882" 664040 15 88.1 "double" 0.946 0.89
"14883" 665120 22 91.8 "field_out" 0.194 0.199
"14884" 605137 -4 98.9 "single" 0.289 0.26
"14885" 553869 37 86.9 "field_out" 0.011 0.015
"14886" 405395 48 86.9 "field_out" 0.006 0.006
"14887" 679631 14 84.1 "single" 0.846 0.804
"14888" 668472 3 101.7 "field_out" 0.56 0.546
"14889" 571466 12 89.4 "field_out" 0.786 0.737
"14890" 671289 -39 NA "force_out" NA NA
"14891" 668942 -16 89.4 "field_out" 0.097 0.087
"14892" 607208 57 85.8 "field_out" 0.017 0.015
"14893" 543939 -20 77.4 "field_out" 0.043 0.042
"14894" 596059 17 103.1 "field_out" 0.48 0.552
"14895" 664023 13 75.8 "double_play" 0.443 0.399
"14896" 624428 -7 80.2 "field_out" 0.097 0.087
"14897" 680776 -23 62.2 "force_out" 0.043 0.039
"14898" 622682 -20 78.8 "grounded_into_double_play" 0.037 0.033
"14899" 502110 6 65.7 "grounded_into_double_play" 0.177 0.161
"14900" 444482 8 103.5 "double" 0.683 0.632
"14901" 663662 -33 89 "field_out" 0.097 0.105
"14902" 624503 36 97.6 "field_out" 0.211 0.426
"14903" 606992 6 72.9 "single" 0.211 0.196
"14904" 669742 23 107.9 "home_run" 0.926 1.751
"14905" 664023 35 70.7 "double" 0.571 0.559
"14906" 666969 2 71.5 "single" 0.137 0.131
"14907" 572233 -8 60.2 "field_out" 0.1 0.101
"14908" 606132 24 75.5 "single" 0.794 0.767
"14909" 493329 -29 91 "force_out" 0.086 0.087
"14910" 641820 -9 85.2 "grounded_into_double_play" 0.12 0.108
"14911" 593643 -5 93 "double" 0.217 0.195
"14912" 502110 -1 71.1 "field_out" 0.097 0.087
"14913" 643217 -61 51.7 "field_out" 0.231 0.21
"14914" 664059 5 107.2 "field_out" 0.58 0.532
"14915" 663624 18 74.3 "single" 0.866 0.815
"14916" 681987 24 92.8 "sac_fly" 0.174 0.225
"14917" 643217 -11 99.9 "field_out" 0.269 0.268
"14918" 669242 -1 96.3 "field_out" 0.346 0.326
"14919" 672695 14 86.2 "single" 0.911 0.864
"14920" 602104 39 85.5 "field_out" 0.011 0.012
"14921" 547989 44 98.7 "field_out" 0.031 0.05
"14922" 668227 -47 72.9 "single" 0.154 0.139
"14923" 641531 48 93.7 "field_out" 0 0
"14924" 624503 51 82.4 "field_out" 0.034 0.042
"14925" 596129 -12 94.9 "field_out" 0.169 0.152
"14926" 643265 -31 84.2 "field_out" 0.037 0.033
"14927" 542921 -39 83.2 "field_out" 0.063 0.057
"14928" 663586 27 91.8 "field_out" 0.129 0.165
"14929" 650489 35 96 "field_out" 0.12 0.22
"14930" 686469 -29 85.4 "field_out" 0.043 0.039
"14931" 657557 17 103 "double" 0.48 0.552
"14932" 621563 9 87 "field_out" 0.454 0.409
"14933" 624428 10 98.6 "double" 0.743 0.681
"14934" 676801 -3 89.5 "field_out" 0.197 0.177
"14935" 628450 20 102.3 "field_out" 0.483 0.627
"14936" 545358 -18 100.3 "force_out" 0.151 0.136
"14937" 663757 -12 88.3 "field_out" 0.149 0.143
"14938" 592696 29 98.5 "home_run" 0.423 0.744
"14939" 592206 13 77 "force_out" 0.471 0.424
"14940" 606466 31 71.4 "double" 0.757 0.758
"14941" 608324 13 103.4 "single" 0.88 0.899
"14942" 668942 24 98.6 "double" 0.44 0.634
"14943" 643376 4 96.5 "single" 0.494 0.481
"14944" 623993 -55 59.3 "field_out" 0.231 0.21
"14945" 666176 25 70.6 "single" 0.931 0.883
"14946" 518626 25 101.8 "double" 0.649 1.08
"14947" 457705 23 93.5 "field_out" 0.177 0.218
"14948" 592663 7 94.2 "single" 0.5 0.45
"14949" 657077 11 94 "single" 0.783 0.733
"14950" 647304 11 102.6 "single" 0.894 0.874
"14951" 641511 3 91.9 "single" 0.386 0.364
"14952" 661388 41 86.1 "field_out" 0.017 0.024
"14953" 666971 4 101.1 "force_out" 0.586 0.562
"14954" 630105 -6 77.7 "field_out" 0.1 0.09
"14955" 681082 44 90.1 "field_out" 0.009 0.012
"14956" 665489 -8 112.2 "single" 0.366 0.329
"14957" 514888 -5 92.3 "single" 0.189 0.17
"14958" 500743 58 67.6 "field_out" 0.031 0.028
"14959" 670541 39 99.8 "field_out" 0.174 0.337
"14960" 572228 -20 86.7 "field_out" 0.094 0.085
"14961" 593871 40 83 "field_out" 0.026 0.033
"14962" 679631 -12 81.9 "single" 0.126 0.127
"14963" 672284 50 61.5 "field_out" 0.117 0.105
"14964" 600869 5 97.3 "single" 0.537 0.515
"14965" 642715 12 70 "field_out" 0.326 0.293
"14966" 592206 34 108.6 "home_run" 0.829 1.734
"14967" 545341 32 106.2 "home_run" 0.806 1.66
"14968" 553869 -23 101.8 "field_out" 0.169 0.17
"14969" 605141 3 101.9 "single" 0.56 0.546
"14970" 680776 14 97.9 "double" 0.869 0.854
"14971" 570560 6 95 "single" 0.494 0.459
"14972" 666624 43 49.6 "field_out" 0.16 0.144
"14973" 665161 -6 109 "force_out" 0.42 0.398
"14974" 647351 74 80.7 "field_out" 0.011 0.014
"14975" 656305 46 66.5 "field_out" 0.289 0.297
"14976" 642423 61 77.9 "field_out" 0.026 0.023
"14977" 656185 27 92.1 "field_out" 0.129 0.165
"14978" 592885 -18 104.6 "single" 0.217 0.202
"14979" 686469 11 96.9 "single" 0.837 0.817
"14980" 650559 52 102 "field_out" 0.017 0.027
"14981" 573131 70 83.6 "field_out" 0.006 0.005
"14982" 670764 4 92.4 "single" 0.406 0.381
"14983" 642133 31 113.5 "home_run" 0.966 2.012
"14984" 594838 -24 101.6 "field_out" 0.137 0.123
"14985" 458015 10 105.5 "single" 0.82 0.807
"14986" 660688 -23 87.4 "field_out" 0.094 0.089
"14987" 606192 10 109.2 "single" 0.871 0.883
"14988" 592273 20 90.3 "sac_fly" 0.417 0.418
"14989" 595909 -22 83 "grounded_into_double_play" 0.063 0.061
"14990" 573131 17 110.8 "field_out" 0.729 0.944
"14991" 542303 57 88.6 "field_out" 0.011 0.011
"14992" 664761 11 82.8 "single" 0.529 0.476
"14993" 570560 -19 30 "sac_bunt" 0.257 0.258
"14994" 444482 54 70.8 "field_out" 0.111 0.124
"14995" 669304 49 90.8 "field_out" 0.011 0.015
"14996" 545341 -47 90 "single" 0.083 0.075
"14997" 624413 30 102.6 "field_out" 0.697 1.399
"14998" 641820 19 91.4 "field_out" 0.46 0.456
"14999" 608348 -59 55.2 "field_out" 0.223 0.201
"15000" 572761 0 103.1 "single" 0.469 0.441
"15001" 455117 40 86.6 "sac_fly" 0.014 0.019
"15002" 650559 31 101.7 "field_out" 0.597 1.179
"15003" 657077 9 98 "double" 0.666 0.611
"15004" 663897 24 101 "field_out" 0.563 0.855
"15005" 669257 -50 78.9 "single" 0.16 0.144
"15006" 656555 -20 109.9 "field_out" 0.171 0.154
"15007" 592663 16 96.1 "triple" 0.677 0.711
"15008" 624512 10 100.9 "single" 0.783 0.728
"15009" 677950 13 76.8 "field_out" 0.471 0.424
"15010" 663647 57 78.2 "field_out" 0.06 0.064
"15011" 572761 -29 54.7 "field_out" 0.097 0.105
"15012" 621043 -5 74.8 "field_error" 0.094 0.086
"15013" 607043 35 26.4 "field_out" 0.157 0.141
"15014" 656896 18 103.7 "double" 0.494 0.609
"15015" 663898 29 85.1 "field_out" 0.069 0.075
"15016" 593428 11 96.4 "single" 0.786 0.745
"15017" 641933 7 106 "single" 0.626 0.589
"15018" 621566 17 105.6 "double" 0.551 0.639
"15019" 571875 -4 99.7 "single" 0.326 0.309
"15020" 665120 -44 82.8 "field_out" 0.106 0.105
"15021" 502671 4 107 "field_out" 0.574 0.54
"15022" 506702 10 104 "double" 0.826 0.807
"15023" 665742 8 108.5 "single" 0.751 0.727
"15024" 543939 -5 100.6 "single" 0.274 0.247
"15025" 607208 39 87.5 "field_out" 0.011 0.016
"15026" 673357 -15 91.4 "field_out" 0.16 0.168
"15027" 650859 9 102.4 "double" 0.737 0.684
"15028" 656941 28 103.7 "home_run" 0.814 1.639
"15029" 542303 8 73.2 "field_out" 0.237 0.213
"15030" 621020 41 94.1 "field_out" 0.006 0.005
"15031" 592450 57 97.6 "field_out" 0.017 0.024
"15032" 571466 67 74.6 "field_out" 0.003 0.003
"15033" 621512 56 88.4 "field_out" 0.009 0.008
"15034" 630105 2 90.6 "field_out" 0.343 0.318
"15035" 660757 -17 105.3 "field_out" 0.206 0.185
"15036" 628450 -55 54.8 "field_out" 0.214 0.193
"15037" 663624 8 89.8 "double_play" 0.537 0.509
"15038" 605612 36 84.4 "field_out" 0.011 0.01
"15039" 663898 40 87 "field_out" 0.014 0.019
"15040" 646240 74 85.9 "field_out" 0.009 0.01
"15041" 665750 -31 91.2 "field_out" 0.091 0.088
"15042" 663457 81 75 "field_out" 0.006 0.005
"15043" 671739 6 84.2 "grounded_into_double_play" 0.389 0.364
"15044" 516416 -10 87.1 "field_out" 0.149 0.143
"15045" 656308 30 87.1 "field_out" 0.057 0.071
"15046" 545358 33 98.9 "home_run" 0.32 0.624
"15047" 669352 -3 90.5 "field_error" 0.206 0.185
"15048" 543333 32 83.2 "field_error" 0.034 0.038
"15049" 593160 18 80.4 "single" 0.937 0.886
"15050" 660757 -30 37.6 "field_out" 0.237 0.236
"15051" 663728 31 75.5 "field_out" 0.369 0.348
"15052" 624503 17 83.5 "single" 0.94 0.906
"15053" 656716 0 102 "field_out" 0.46 0.436
"15054" 623993 42 94.3 "field_out" 0.006 0.005
"15055" 650333 -25 95.5 "field_out" 0.091 0.082
"15056" 660271 -23 48.2 "single" 0.163 0.178
"15057" 572204 23 91.5 "field_out" 0.171 0.179
"15058" 656582 24 78.5 "double" 0.669 0.644
"15059" 686681 47 74.2 "field_out" 0.126 0.116
"15060" 607732 4 102.2 "single" 0.574 0.543
"15061" 664983 9 78.4 "single" 0.337 0.303
"15062" 666182 -1 104.2 "single" 0.429 0.4
"15063" 543068 17 99.2 "field_out" 0.466 0.486
"15064" 607208 10 105.3 "single" 0.82 0.807
"15065" 543068 -22 91 "field_out" 0.097 0.088
"15066" 575929 25 104.2 "home_run" 0.834 1.554
"15067" 593428 37 93.1 "field_out" 0.071 0.12
"15068" 641779 11 106.4 "single" 0.897 0.933
"15069" 595777 23 81.5 "field_out" 0.543 0.508
"15070" 467793 48 76.5 "field_out" 0.086 0.077
"15071" 621043 62 59.4 "field_out" 0.006 0.005
"15072" 575929 -10 64.1 "force_out" 0.077 0.072
"15073" 676694 35 77.6 "double" 0.08 0.074
"15074" 666971 14 81.4 "single" 0.7 0.638
"15075" 621028 -28 84 "field_out" 0.049 0.044
"15076" 646240 38 86.6 "field_out" 0.011 0.015
"15077" 643446 28 100 "home_run" 0.571 1.053
"15078" 681082 -21 103.5 "field_out" 0.189 0.186
"15079" 641487 31 79.4 "field_out" 0.129 0.126
"15080" 663993 -1 80.5 "force_out" 0.189 0.192
"15081" 593428 13 84.5 "single" 0.749 0.703
"15082" 595879 28 68.9 "single" 0.92 0.876
"15083" 671277 6 84.9 "field_out" 0.403 0.38
"15084" 608070 -7 109.3 "field_out" 0.397 0.375
"15085" 660670 32 69.7 "single" 0.783 0.783
"15086" 596451 33 70.4 "single" 0.726 0.723
"15087" 600869 -57 63.5 "field_out" 0.249 0.225
"15088" 666971 25 85.1 "field_out" 0.16 0.147
"15089" 669004 7 102.6 "double" 0.64 0.586
"15090" 542583 10 88.4 "field_out" 0.571 0.514
"15091" 621020 20 107.7 "double" 0.817 1.292
"15092" 608324 9 85.6 "single" 0.483 0.443
"15093" 572233 -4 98.1 "field_out" 0.317 0.308
"15094" 673490 47 22.8 "single" 0.123 0.111
"15095" 676628 72 97.2 "field_out" 0.02 0.023
"15096" 664761 32 90.5 "field_out" 0.046 0.067
"15097" 650402 -2 87.6 "single" 0.229 0.219
"15098" 642336 50 88 "field_out" 0.014 0.017
"15099" 542921 -19 102 "fielders_choice" 0.169 0.152
"15100" 543281 18 89.3 "single" 0.706 0.677
"15101" 621493 14 68.2 "single" 0.386 0.347
"15102" 502054 -7 105.8 "field_out" 0.363 0.332
"15103" 571448 -55 72.6 "single" 0.237 0.225
"15104" 669742 16 111.2 "double" 0.711 0.856
"15105" 663898 -51 89.7 "field_out" 0.129 0.121
"15106" 500871 5 107.8 "single" 0.631 0.605
"15107" 621563 34 75.7 "field_out" 0.197 0.193
"15108" 596019 40 93.3 "field_out" 0.023 0.023
"15109" 669304 -30 94.3 "field_out" 0.103 0.1
"15110" 608348 37 91.2 "field_out" 0.02 0.018
"15111" 592696 17 101.7 "double" 0.489 0.57
"15112" 669701 -22 90 "field_out" 0.097 0.087
"15113" 621043 8 80.7 "single" 0.38 0.355
"15114" 458015 -7 86.3 "grounded_into_double_play" 0.111 0.1
"15115" 444482 -7 78.2 "field_out" 0.091 0.082
"15116" 542364 -58 59.6 "field_out" 0.251 0.233
"15117" 592192 36 93 "field_out" 0.06 0.09
"15118" 660670 47 65.2 "field_out" 0.226 0.206
"15119" 593871 47 72.6 "field_out" 0.166 0.171
"15120" 643265 19 70.9 "field_out" 0.823 0.766
"15121" 669242 63 84.6 "field_out" 0.006 0.005
"15122" 669016 -7 101 "field_out" 0.286 0.276
"15123" 656555 31 98.9 "home_run" 0.4 0.762
"15124" 592450 13 116.9 "field_out" 0.811 0.952
"15125" 592325 26 73.7 "single" 0.777 0.735
"15126" 543068 -12 107.5 "field_out" 0.271 0.247
"15127" 681987 56 76.6 "field_out" 0.083 0.099
"15128" 578428 27 57.2 "field_out" 0.429 0.386
"15129" 621493 35 93.1 "sac_fly" 0.057 0.085
"15130" 650490 2 95.1 "field_out" 0.434 0.421
"15131" 596019 -2 99.6 "single" 0.351 0.326
"15132" 605612 -2 59.7 "field_out" 0.123 0.112
"15133" 670541 -16 72.1 "field_out" 0.06 0.061
"15134" 444482 64 72.8 "field_out" 0.006 0.005
"15135" 664034 -49 62.1 "field_out" 0.191 0.172
"15136" 664040 -15 99.9 "field_out" 0.186 0.167
"15137" 542921 -2 98.1 "grounded_into_double_play" 0.34 0.326
"15138" 457705 9 78.3 "field_out" 0.337 0.303
"15139" 642708 22 106.1 "home_run" 0.837 1.427
